open,close,low,high,avgGas,timestamp
60.21,44.38,38.2,79.53,84129.22866333333,2022-05-01T14:00:53.459Z
45.14,55.91,32.93,86.68,84713.20645833333,2022-05-01T15:00:56.059Z
53.83,68.97,51.6,93.5,81457.90861355937,2022-05-01T16:00:58.775Z
56.16,59.66,36.0,96.58,85716.04145166666,2022-05-01T17:00:01.659Z
59.61,50.42,37.1,104.19,87825.85778166665,2022-05-01T18:00:04.564Z
57.02,49.29,37.78,96.78,90442.40817666663,2022-05-01T19:00:08.423Z
71.3,56.84,35.23,84.86,90379.62031333332,2022-05-01T20:00:11.195Z
51.88,60.4,42.03,112.48,86432.49232333335,2022-05-01T21:00:13.753Z
43.17,38.4,38.4,94.07,89017.47954166665,2022-05-01T22:00:16.200Z
53.29,36.52,35.18,125.62,104710.3195483333,2022-05-01T23:00:18.621Z
52.05,49.26,33.93,97.55,102604.96174333332,2022-05-02T00:00:20.976Z
40.03,55.69,31.37,85.51,105133.30775500002,2022-05-02T01:00:23.197Z
69.43,42.44,34.18,91.0,93800.31580333332,2022-05-02T02:00:27.136Z
58.67,57.55,41.0,116.79,88148.71234666667,2022-05-02T03:00:29.798Z
34.06,66.87,33.39,95.31,95510.21438,2022-05-02T04:00:32.610Z
54.35,37.64,26.58,78.38,97924.39614833334,2022-05-02T05:00:34.843Z
38.09,54.09,28.31,67.69,93278.64701166666,2022-05-02T06:00:37.087Z
40.06,37.11,31.83,66.68,83902.8455383333,2022-05-02T07:00:39.319Z
48.09,37.91,30.9,88.51,84510.31009999997,2022-05-02T08:00:41.308Z
43.75,39.23,30.0,58.22,92308.71411000002,2022-05-02T09:00:43.523Z
55.58,49.76,27.0,66.86,90722.60797666668,2022-05-02T10:00:46.914Z
55.59,50.5,38.69,76.79,90615.80836333332,2022-05-02T11:00:49.853Z
87.0,52.95,38.02,103.31,86825.23147833333,2022-05-02T12:00:52.470Z
58.67,66.77,40.89,95.48,85890.87898833332,2022-05-02T13:00:55.226Z
66.0,48.49,38.0,110.9,87864.25999322034,2022-05-02T14:00:58.343Z
95.41,61.43,52.87,135.62,84647.46138166664,2022-05-02T15:00:01.326Z
108.87,101.17,55.34,151.04,111233.53765833333,2022-05-02T16:00:04.974Z
126.1,105.22,62.66,126.18,84073.01817333333,2022-05-02T17:00:07.795Z
115.45,124.1,63.67,134.63,84689.51542500006,2022-05-02T18:00:10.901Z
113.86,136.8,55.0,176.28,93095.36284999998,2022-05-02T19:00:21.324Z
105.32,80.34,52.53,141.04,91520.66917833337,2022-05-02T20:00:24.210Z
100.53,86.84,72.62,165.95,89287.16673166669,2022-05-02T21:00:27.708Z
77.44,109.42,50.57,120.6,91617.89690833334,2022-05-02T22:00:31.350Z
63.96,65.38,39.0,121.01,96862.87262166664,2022-05-02T23:00:34.316Z
69.53,59.56,38.02,110.31,92800.73048333332,2022-05-03T00:00:36.574Z
51.52,55.11,39.7,88.66,99610.59185500002,2022-05-03T01:00:38.930Z
75.22,52.08,36.55,119.23,94342.94712999996,2022-05-03T02:00:43.739Z
61.45,61.8,54.84,298.69,108809.56548499996,2022-05-03T03:00:46.040Z
74.97,75.23,43.04,96.25,94085.033955,2022-05-03T04:00:50.059Z
56.87,71.9,40.51,88.36,90312.84515166668,2022-05-03T05:00:52.192Z
44.38,52.36,37.0,95.12,99168.81910166664,2022-05-03T06:00:54.272Z
75.4,41.72,35.5,76.15,94025.461635,2022-05-03T07:00:56.485Z
47.31,83.41,35.65,91.01,96642.5617322034,2022-05-03T08:00:58.392Z
46.07,54.72,37.69,70.05,86445.19361666669,2022-05-03T09:00:00.768Z
59.88,56.56,37.0,68.97,89778.2548516666,2022-05-03T10:00:07.295Z
40.3,48.46,32.39,73.11,97820.41614166668,2022-05-03T11:00:14.003Z
63.02,51.27,33.91,80.62,88483.56392666664,2022-05-03T12:00:16.976Z
84.11,76.93,40.62,93.77,89023.290325,2022-05-03T13:00:20.019Z
60.55,53.85,45.44,110.49,86671.27766666663,2022-05-03T14:00:22.825Z
60.72,51.21,42.87,96.27,88771.30523999999,2022-05-03T15:00:27.061Z
52.42,73.72,43.28,132.28,93341.49502166666,2022-05-03T16:00:32.130Z
58.72,68.83,44.55,91.42,94005.14502333332,2022-05-03T17:00:36.622Z
69.75,79.2,39.0,137.09,86884.64228333336,2022-05-03T18:00:39.327Z
71.89,54.98,36.0,81.33,93070.81271333332,2022-05-03T19:00:42.312Z
45.37,52.7,36.69,85.42,93082.02666833336,2022-05-03T20:00:47.932Z
41.54,53.0,34.68,108.36,92405.832185,2022-05-03T21:00:50.716Z
41.3,40.32,32.89,61.29,97959.11730666673,2022-05-03T22:00:53.228Z
37.96,39.94,28.0,64.74,94043.892545,2022-05-03T23:00:55.321Z
55.83,500.0,34.42,500.0,94972.09454237286,2022-05-04T00:00:59.919Z
42.84,58.29,30.03,60.55,91780.444855,2022-05-04T01:00:02.343Z
41.71,51.16,30.0,71.47,95232.59487333332,2022-05-04T02:00:04.964Z
41.39,54.7,29.41,83.52,89797.54173666667,2022-05-04T03:00:08.044Z
45.57,42.54,29.65,63.79,91512.51893500004,2022-05-04T04:00:10.197Z
44.01,51.29,28.56,74.32,87954.42399499999,2022-05-04T05:00:12.323Z
46.49,44.45,26.37,61.26,94782.09895499996,2022-05-04T06:00:14.750Z
32.7,51.37,25.56,67.49,92393.64027,2022-05-04T07:00:42.292Z
56.6,31.08,27.0,58.29,81948.16204499998,2022-05-04T08:00:44.737Z
42.04,57.46,25.39,62.44,90772.60994666666,2022-05-04T09:00:47.332Z
39.91,41.06,26.0,57.8,96540.99187333338,2022-05-04T10:00:51.338Z
39.0,41.84,26.62,59.16,88902.43882666665,2022-05-04T11:00:55.096Z
36.66,44.61,26.16,74.95,95675.66463333336,2022-05-04T12:00:57.526Z
41.23,43.8,29.66,91.0,101415.32472033898,2022-05-04T13:00:59.983Z
62.78,53.98,37.72,91.0,86960.78423166666,2022-05-04T14:00:03.153Z
