open,close,low,high,avgGas,timestamp
3.74,7.21,2.0,10.15,130030.77932333338,2022-09-18T04:00:41.128Z
5.77,4.18,2.0,14.0,132470.01501666667,2022-09-18T05:00:42.641Z
4.29,4.96,2.39,35.0,148148.1085266667,2022-09-18T06:00:43.839Z
2.73,4.0,2.0,5.9,94735.06397000002,2022-09-18T07:00:45.003Z
4.51,3.58,2.0,6.65,100183.50292666668,2022-09-18T08:00:46.811Z
7.51,4.43,2.0,10.11,101089.14534666669,2022-09-18T09:00:49.103Z
3.1,9.04,2.0,16.31,100643.60161666668,2022-09-18T10:00:50.279Z
4.0,3.83,2.0,21.06,117678.15452166667,2022-09-18T11:00:51.548Z
5.57,4.22,3.37,9.75,102623.78545500003,2022-09-18T12:00:53.600Z
7.69,5.64,3.08,9.75,94535.3558050847,2022-09-18T13:00:56.189Z
9.87,7.64,4.98,10.61,95088.07983500001,2022-09-18T14:00:00.557Z
9.33,9.53,8.14,22.0,94891.43223166667,2022-09-18T15:00:04.521Z
15.99,8.75,8.36,56.3,86369.16110333335,2022-09-18T16:00:05.928Z
12.84,16.21,9.4,19.05,95697.61587000004,2022-09-18T17:00:08.315Z
15.35,12.5,8.02,20.0,101124.29692333333,2022-09-18T18:00:10.845Z
6.0,11.48,4.0,15.17,101219.65366333333,2022-09-18T19:00:12.266Z
5.97,6.0,4.0,40.65,102169.5701483333,2022-09-18T20:00:13.686Z
13.69,5.45,4.46,121.0,97234.66440000002,2022-09-18T21:00:14.946Z
6.7,12.57,5.0,23.14,99940.26876833332,2022-09-18T22:00:16.130Z
4.73,7.54,2.96,21.27,102823.95456333332,2022-09-18T23:00:17.401Z
6.89,4.2,3.55,31.37,97696.99442166663,2022-09-19T00:00:18.783Z
7.57,15.77,4.89,17.28,115798.52151166672,2022-09-19T01:00:20.130Z
7.81,5.55,4.7,21.34,97795.95683999998,2022-09-19T02:00:21.410Z
5.31,7.51,5.31,105.88,101430.4959172414,2022-09-19T03:00:51.021Z
4.59,6.13,2.2,11.47,105366.97279666667,2022-09-19T04:00:53.068Z
3.78,4.15,2.0,22.89,109643.86404333333,2022-09-19T05:00:54.409Z
5.85,5.23,3.31,9.57,102065.45189333333,2022-09-19T06:00:56.137Z
7.38,6.43,3.0,30.22,109006.29491666668,2022-09-19T07:00:57.748Z
4.65,7.79,3.0,9.25,143676.06343559324,2022-09-19T08:00:59.131Z
4.0,4.61,2.62,6.31,99130.04163666666,2022-09-19T09:00:01.019Z
3.86,3.87,2.0,63.0,92781.91549333338,2022-09-19T10:00:02.463Z
3.0,3.97,2.46,7.36,136483.64847666665,2022-09-19T11:00:04.491Z
4.87,3.06,3.0,7.22,95091.313845,2022-09-19T12:00:06.460Z
13.89,4.71,4.71,19.6,94873.00684500001,2022-09-19T13:00:08.040Z
13.77,13.73,11.0,19.38,102699.42851,2022-09-19T14:00:09.806Z
24.36,13.98,7.45,25.22,91643.30642166667,2022-09-19T15:00:11.453Z
27.22,18.73,8.0,49.65,98201.37716833333,2022-09-19T16:00:13.009Z
16.73,21.21,14.2,40.98,99408.74909999999,2022-09-19T17:00:14.448Z
13.15,14.14,8.7,30.25,101369.49207333337,2022-09-19T18:00:16.287Z
13.74,14.87,12.55,44.27,102398.98379666667,2022-09-19T19:00:17.825Z
11.39,13.35,8.16,19.07,105997.80937999999,2022-09-19T20:00:19.388Z
9.92,10.7,7.37,30.0,103505.07655999999,2022-09-19T21:00:20.821Z
7.0,8.93,5.0,15.57,105361.54548833336,2022-09-19T22:00:22.340Z
6.67,6.95,5.0,16.13,109439.57737333329,2022-09-19T23:00:23.882Z
6.64,6.13,4.0,52.34,96520.71903000002,2022-09-20T00:00:25.138Z
4.62,5.48,3.0,10.97,103745.599635,2022-09-20T01:00:26.335Z
6.65,5.09,4.31,14.28,105540.4991033333,2022-09-20T02:00:27.536Z
10.09,7.04,5.64,13.34,112694.70528965518,2022-09-20T03:00:28.864Z
4.69,9.06,3.0,12.31,117081.95092333334,2022-09-20T04:00:41.377Z
4.86,4.58,4.0,30.0,108726.45441333331,2022-09-20T05:00:42.724Z
8.67,4.41,4.12,13.34,131542.94376666666,2022-09-20T06:00:44.195Z
7.0,8.95,4.5,16.38,101995.73625333335,2022-09-20T07:00:45.520Z
5.8,6.48,3.0,9.69,102474.90242500004,2022-09-20T08:00:46.771Z
5.68,5.77,4.0,50.0,113115.37776,2022-09-20T09:00:48.133Z
3.94,6.55,2.65,6.55,101901.8035016667,2022-09-20T10:00:49.284Z
5.12,4.0,3.25,8.3,104677.64352166667,2022-09-20T11:00:50.410Z
6.72,4.78,3.0,17.46,85065.63553333335,2022-09-20T12:00:51.664Z
13.1,9.41,7.86,43.07,87879.8492383333,2022-09-20T13:00:52.868Z
21.1,16.2,10.0,29.92,92507.10519152542,2022-09-20T14:00:54.123Z
13.96,20.05,7.55,20.16,93834.62612000004,2022-09-20T15:00:55.501Z
34.74,13.87,9.7,43.22,93168.93085499998,2022-09-20T16:00:57.068Z
20.76,35.17,15.23,46.41,90748.21538333333,2022-09-20T17:00:58.397Z
11.19,24.17,10.0,43.78,100427.0050183333,2022-09-20T18:00:56.077Z
8.29,11.92,6.0,19.71,100046.97550666667,2022-09-20T19:00:57.722Z
13.46,25.0,7.21,95.82,138166.63641694913,2022-09-20T20:00:59.506Z
12.68,12.71,8.99,23.82,96866.5376066667,2022-09-20T21:00:01.096Z
